"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-03-31,2562,"Stutsman","ND","Jamestown",1047,163100,-0.0018359853121175,0.018738288569644,-0.0360520094562648,-0.000122579067179829,,"2016-03","2016-Q1",169200,-0.0360520094562648,"2015-11"
2017-03-31,3262,"Waynesboro City","VA","Staunton",1048,149200,0.010155721056195,0.0404463040446304,0.0726096333572969,0.0312872671301485,-0.00795186117341373,"2008-02","2008-Q1",163900,-0.0896888346552776,"2005-12"
2017-03-31,462,"Crook","OR","Prineville",1049,229700,0.00834064969271291,0.0282005371530886,0.123227383863081,0.146609436989933,-0.00573560227594794,"2006-11","2006-Q4",246800,-0.0692868719611021,"2006-07"
2017-03-31,2031,"Spencer","IN",,1050,109100,0.0111214087117702,0.0302171860245515,0.00831792975970425,0.0397039233199132,0.016423041604851,"2015-10","2015-Q4",111800,-0.0241502683363148,"2015-07"
2017-03-31,1022,"Fulton","IN",,1051,91700,0,0.00218579234972678,0.0839243498817967,0.0320993742001661,-0.00467572825979479,"2005-10","2005-Q4",105000,-0.126666666666667,"2003-11"
2017-03-31,2670,"Concordia","LA","Natchez",1052,110800,0.00910746812386157,0.0746847720659554,0.112449799196787,0.0615332172845315,0.0475941198857466,"2017-03","2017-Q1",110800,0,"2017-03"
2017-03-31,2280,"Franklin","LA",,1053,78300,0.0103225806451613,0.0275590551181102,0.0966386554621849,0.0363443699924459,0.0297573287385045,"2006-02","2006-Q1",87200,-0.102064220183486,
2017-03-31,2503,"Richland","LA",,1054,81400,0.00369913686806412,0.0343074968233799,0.0926174496644295,-0.0187938222047068,,"2012-03","2012-Q1",89500,-0.0905027932960894,"2011-05"
2017-03-31,127,"Clay","MS",,1055,83100,0,0.00972053462940462,0.0259259259259259,-0.00333579034768583,,"2014-02","2014-Q1",84700,-0.0188902007083825,
2017-03-31,3239,"East Feliciana","LA","Baton Rouge",1056,143100,0.00632911392405063,0.03470715835141,0.0957120980091884,0.0228730964911172,,"2017-03","2017-Q1",143100,0,"2017-03"
2017-03-31,2426,"McIntosh","OK",,1057,113100,0.00177147918511957,0.0395220588235294,0.249723756906077,0.0838973684541411,,"2017-03","2017-Q1",113100,0,"2017-03"
2017-03-31,3065,"Washington","NE","Omaha",1058,173300,0.0188124632569077,0.0439759036144578,0.101716465352829,0.0419678279561919,,"2017-03","2017-Q1",173300,0,"2017-03"
2017-03-31,200,"Kent","MD",,1059,193900,0.0109489051094891,0.0114762649973918,0.0724557522123894,0.0203735176767033,-0.0297997150629989,"2008-01","2008-Q1",269600,-0.280786350148368,"2004-09"
2017-03-31,1002,"Elbert","GA",,1060,79800,-0.00746268656716418,-0.00869565217391304,0.00251256281407035,0.0340459160264601,-0.039735499207782,"2008-02","2008-Q1",127500,-0.374117647058824,"2003-07"
2017-03-31,1593,"Carroll","IN","Lafayette-West Lafayette",1061,108300,-0.000922509225092251,0.00837988826815642,0.0648967551622419,0.0498908560398879,0.00942755125837391,"2017-02","2017-Q1",108400,-0.000922509225092251,"2017-02"
2017-03-31,1661,"De Witt","TX",,1062,94600,0,0.00745473908413206,0.0713476783691959,0.0173591191171412,,"2017-03","2017-Q1",94600,0,"2017-03"
2017-03-31,483,"Dodge","MN","Rochester",1063,190900,0.0111228813559322,0.0466008771929825,0.10474537037037,0.0667424482833607,0.0169280807334362,"2017-03","2017-Q1",190900,0,"2017-03"
2017-03-31,1329,"Plumas","CA",,1064,219200,0.00458295142071494,0.00689021589343133,0.0364066193853428,0.0436946486049297,-0.0505937359006148,"2005-07","2005-Q3",377100,-0.418721824449748,
2017-03-31,1288,"Orange","IN",,1065,76800,-0.00646830530401035,-0.0103092783505155,-0.0278481012658228,0.0243369092046741,0.00974763393368061,"2004-12","2004-Q4",91600,-0.161572052401747,"2004-02"
2017-03-31,2701,"Freestone","TX",,1066,97300,0.0220588235294118,0.0645514223194748,0.0285412262156448,,,"2015-05","2015-Q2",100800,-0.0347222222222222,"2015-01"
2017-03-31,2682,"Dickinson","KS",,1067,96300,0.0104931794333683,0.0104931794333683,0.0201271186440678,0.00527455429826773,,"2010-03","2010-Q1",96700,-0.00413650465356774,
2017-03-31,1970,"Pickens","AL","Tuscaloosa",1068,108500,0,0.00277264325323475,0.136125654450262,0.0432467596479602,,"2017-03","2017-Q1",108500,0,"2017-03"
2017-03-31,2376,"Lampasas","TX","Killeen",1069,149100,-0.00666222518321119,-0.0086436170212766,0.0212328767123288,0.0187125051376038,-0.00231759991656921,"2009-06","2009-Q2",185400,-0.1957928802589,"2008-07"
2017-03-31,3042,"Tishomingo","MS",,1070,98600,-0.00303336703741153,-0.0208540218470705,0.0270833333333333,-0.0235892073459789,0.0254350435987625,"2010-12","2010-Q4",111800,-0.118067978533095,"2009-09"
2017-03-31,677,"Perry","IN",,1071,99800,0.0131979695431472,0.0719656283566058,0.108888888888889,0.0439193126903195,0.0227446632274659,"2017-03","2017-Q1",99800,0,"2017-03"
2017-03-31,603,"Llano","TX",,1072,216600,0.00510440835266821,0.002313743637205,0.0701581027667984,0.0395675640493365,,"2017-03","2017-Q1",216600,0,"2017-03"
2017-03-31,1145,"Lavaca","TX",,1073,86600,0.00115606936416185,0.00932400932400932,0.0811485642946317,0.019056667656445,,"2017-03","2017-Q1",86600,0,"2017-03"
2017-03-31,724,"Smith","TN","Nashville",1074,126200,0.0128410914927769,0.0302040816326531,0.147272727272727,0.06136302227575,0.0209187954976029,"2017-03","2017-Q1",126200,0,"2017-03"
2017-03-31,778,"Union","TN","Knoxville",1075,120200,0.00923593618807725,0.0543859649122807,0.0406926406926407,0.0504014747203789,0.00287351582534034,"2017-03","2017-Q1",120200,0,"2017-03"
2017-03-31,679,"Perry","MO",,1076,117200,0.0129645635263613,0.0182450043440487,0.136760426770126,0.0489268009346102,,"2017-03","2017-Q1",117200,0,"2017-03"
2017-03-31,663,"Otero","CO",,1077,70400,0.00427960057061341,0.0262390670553936,0.024745269286754,0.0186090401408343,-0.0210614064539462,"2005-03","2005-Q1",90200,-0.219512195121951,"2000-05"
2017-03-31,363,"Adams","WA","Othello",1078,140300,0.00790229885057471,0.0316176470588235,0.0331369661266568,0.0233625775787869,0.0230584570500501,"2017-03","2017-Q1",140300,0,"2017-03"
2017-03-31,986,"Dekalb","TN",,1079,125400,-0.00159235668789809,0.0195121951219512,0.152573529411765,0.0511884842530734,0.0266491460727822,"2017-02","2017-Q1",125600,-0.00159235668789809,"2017-02"
2017-03-31,819,"Young","TX",,1080,92500,0.00216684723726977,-0.0128068303094984,-0.00215749730312837,-0.0201302395188704,,"2012-09","2012-Q3",104700,-0.116523400191022,
2017-03-31,188,"Inyo","CA",,1081,299600,0.00435802883003688,0.00301305657850686,0.0446304044630404,0.033899944381856,,"2009-06","2009-Q2",330700,-0.0940429392198367,
2017-03-31,2728,"Humphreys","TN",,1082,97000,0.00103199174406605,-0.00410677618069815,0.0286320254506893,0.0141931215589544,0.0136518851398457,"2015-09","2015-Q3",98700,-0.0172239108409321,"2015-05"
2017-03-31,2451,"New Kent","VA","Richmond",1083,244000,0.0120282040647034,0.0508182601205857,0.0697062691801841,0.0322426999934553,-0.00494478407902554,"2008-05","2008-Q2",265100,-0.0795926065635609,"2006-09"
2017-03-31,2403,"Mariposa","CA",,1084,253200,0.0144230769230769,0.0471464019851117,0.108096280087527,0.0781589337099682,-0.0298989868994903,"2008-09","2008-Q3",384300,-0.341139734582358,"2004-07"
2017-03-31,2262,"Fentress","TN",,1085,106300,0.0114176974310181,0.0181992337164751,0.130851063829787,0.0484657806797544,0.0276813479069999,"2017-03","2017-Q1",106300,0,"2017-03"
2017-03-31,273,"Pike","GA","Atlanta",1086,132600,-0.00599700149925038,-0.0163204747774481,-0.0285714285714286,0.0417021632100643,-0.00463096108029259,"2006-03","2006-Q1",147000,-0.0979591836734694,"2004-05"
2017-03-31,1231,"Morgan","GA","Atlanta",1087,212300,-0.00328638497652582,-0.000941176470588235,0.00283419933868682,0.0593902287166286,-0.00930317293962668,"2006-02","2006-Q1",261500,-0.188145315487572,
2017-03-31,509,"Falls","TX","Waco",1088,76700,0.00130548302872063,0.0132100396301189,0.0848656294200849,0.0190323899192781,,"2017-03","2017-Q1",76700,0,"2017-03"
2017-03-31,1606,"Chaffee","CO",,1089,341900,0.00440658049353702,0.0163495838287753,0.10898475510866,0.0626649833400166,0.0334244888256323,"2017-03","2017-Q1",341900,0,"2017-03"
2017-03-31,734,"Stone","MS",,1090,123000,-0.00646203554119548,-0.0214797136038186,-0.067475360121304,-0.010704385682379,-0.00389881512860435,"2016-07","2016-Q3",133300,-0.0772693173293323,
2017-03-31,2655,"Chickasaw","MS",,1091,69900,0.00143266475644699,0.00720461095100865,0.0464071856287425,0.0103266743936834,0.0145470212742105,"2009-06","2009-Q2",71800,-0.0264623955431755,"2009-04"
